DATE;SP500;NASDAQ,AAPL;NASDAQ,AMZN;NASDAQ,GOOGL
1491319320;2358,02;144,43;899,7;851,356
1491319380;2357,8899;144,43;900,26;851,67
1491319440;2358,3201;144,42;900,05;851,67
1491319500;2358,96;144,45;900,96;851,59
1491319560;2358,1101;144,46;900,51;851,52
1491319620;2357,98;144,4;900,27;851,56
1491319680;2357,8401;144,42;900,02;851,19
1491319740;2357,28;144,39;899,9493;851
1491319800;2357,1899;144,32;899,96;850,66
1491319860;2356,6201;144,32;900,0352;850,81
1491319920;2356,9299;144,26;899,624;850,75
1491319980;2357,03;144,3056;899,98;851,08
1491320040;2357,8501;144,25;900,11;851,05
1491320100;2358,02;144,34;900,1;851,2489
1491320160;2357,9299;144,4271;900,45;851,39
1491320220;2358,8101;144,4;900,44;851,32
1491320280;2358,49;144,47;900,53;851,5997
1491320340;2358,3701;144,4399;900,2;851,18
1491320400;2358,6001;144,39;900,26;851
1491320460;2358,3999;144,45;900,515;851,35
1491320520;2358,24;144,4499;900,6648;851,31
1491320580;2358,4299;144,439;901,49;851,44
1491320640;2357,99;144,4299;901,28;851,64
1491320700;2359,0801;144,3899;900,9;851,61
1491320760;2358,78;144,41;900,93;851,75
1491320820;2359,22;144,39;901,1;851,64
1491320880;2359,6799;144,43;901,025;851,49
1491320940;2359,6599;144,46;901,28;851,5316
1491321000;2359,3201;144,43;901,2371;851,5
1491321060;2359,3101;144,412;901,355;851,4
1491321120;2358,6599;144,418;901,37;851,08
1491321180;2358,51;144,33;901,11;850,77
1491321240;2358,6201;144,33;901,17;850,55
1491321300;2358,3201;144,33;901,05;850,7
1491321360;2358,9399;144,2801;900,89;850,58
1491321420;2359,1399;144,35;900,8754;850,8
1491321480;2358,9099;144,38;900,815;850,91
1491321540;2358,1699;144,35;900,66;851
1491321600;2358,04;144,27;900,64;850,91
1491321660;2356,95;144,21;900,44;850,575
1491321720;2357,3799;144,19;899,83;850,37
1491321780;2357,6799;144,21;899,55;850,52
1491321840;2357,6299;144,18;899,73;850,57
1491321900;2357,6399;144,18;899,9;850,8
1491321960;2358,1001;144,2093;900,53;850,7614
1491322020;2357,3301;144,26;900,61;851,1
1491322080;2357,5701;144,2101;900,816;851,04
1491322140;2357,5701;144,2743;901,2725;851,5
1491322200;2357,4199;144,25;901,17;851,38
1491322260;2357,73;144,28;901,366;851,285
1491322320;2358,22;144,2801;901,8523;851,5
1491322380;2358,1001;144,345;902,2237;851,61
1491322440;2358,4299;144,37;902,22;852,04
1491322500;2358,8;144,37;902,5;852,2803
1491322560;2358,6799;144,42;902,851;852,365
1491322620;2358,54;144,3601;902,7629;852,38
1491322680;2358,5901;144,3751;902,38;851,955
1491322740;2358,8701;144,3851;902,35;852,2
1491322800;2358,22;144,37;902,86;852,28
1491322860;2357,96;144,3449;902,79;852,11
1491322920;2357,3401;144,3111;902,6851;852,2699
1491322980;2357,22;144,28;902,57;851,855
1491323040;2357,0801;144,2656;902,47;851,89
1491323100;2357,24;144,267;902,61;851,27
1491323160;2357,24;144,25;902,588;851,75
1491323220;2357,6399;144,27;902,79;852,0175
1491323280;2357,49;144,33;902,87;852,39
1491323340;2357,6101;144,31;902,4;852,2
1491323400;2357,3899;144,3149;902,53;852,2403
1491323460;2357,21;144,29;902,48;852,2403
1491323520;2356,8301;144,28;902,54;852,24
1491323580;2356,8999;144,21;902,7075;851,88
1491323640;2356,98;144,24;902,805;851,89
1491323700;2356,98;144,2549;902,7;851,83
1491323760;2357,25;144,25;902,77;851,95
1491323820;2357,1399;144,27;903,5;852,1269
1491323880;2357,3999;144,225;903,541;851,87
1491323940;2358;144,2571;904,24;852,0598
1491324000;2357,6499;144,27;904,455;852,32
1491324060;2358;144,265;905,26;852,28
1491324120;2357,95;144,3;904,5576;852,28
1491324180;2357,72;144,2867;905,3;852,41
1491324240;2357,8201;144,28;905,474;852,31
1491324300;2357,8301;144,275;906,0662;852,24
1491324360;2356,75;144,29;906,85;852,1
1491324420;2356,21;144,25;906,195;851,645
1491324480;2356,55;144,15;906,1869;851,71
1491324540;2356,3999;144,19;906,345;851,52
1491324600;2356,52;144,19;905,97;851,52
1491324660;2356,3701;144,19;905,5101;851,87
1491324720;2356,5701;144,18;905,419;851,8625
1491324780;2355,8401;144,16;905,77;851,8625
1491324840;2355,98;144,0944;905,74;851,68
1491324900;2355,6001;144,06;905,67;851,59
1491324960;2355,5901;144,11;905,83;851,66
1491325020;2355,1599;144,1588;906,02;851,6
